"TARGET"	"ANT_PM"	"EDAD"	"PROM_SALDO_ACTIVO_TOTAL_ULT_3M"	"PROM_NUM_PCON_ULT_6M"	"PROM_CUOTA_PCON_ULT_6M"	"PROM_IMP_NOMINA_ULT_6M"	"DELTA_IMP_NOMINA_0_5"	"PROM_TEN_PASIVO_ULT_6M"	"DELTA_SALDO_PASIVO_TOTAL_0_5"	"MAX_SALDO_PASIVO_TOTAL_ULT_6M"	"PROM_SALDO_MEDIO_CAHO_ULT_6M"	"PROM_SALDO_PASIVO_TOTAL_ULT_3M"	"PROM_TARJETAS_AJENAS_ULT_6M"	"PROM_NUMERO_ENTIDADES_ULT_6M"	"PROM_SCORE_RIESGO_ULT_3M"	"DELTA_LIMITE_LINEA_TDC_0_5"	"PROM_LIMITE_LINEA_TDC_ULT_1M"	"PROM_LINEA_DISPONIBLE_TDC_ULT_3M"	"PROM_SALDO_ACTUAL_TDC_ULT_1M"	"PROM_SALDO_CUOTAS_TDC_ULT_6M"	"PROM_IMPORTE_TDC_ULT_3M"	"PROM_NUM_OPERS_TDC_ULT_6M"
1	15	45	0	0	0	742.666666666667	-1	1	0.0187891440501044	1451	1239.66666666667	1205.33333333333	0	0	0	0	0	0	0	0	0	0
0	133	62	0	0	0	0	0	1	-0.866880560011667	34285	1822.66666666667	5475.66666666667	2.666666666666	4.666666666666	1	0	4000	4000	0	0	0	0
0	129	56	0	0	0	0	0	1	-0.657026035716433	16631	3646.66666666667	7950	2	3	1	0	16300	0	0	0	281.266665776571	3.5
0	76	62	0	0	0	0	0	1	0.321870546763669	105747	69708.1666666667	88616.3333333333	4	7	1	0	24000	24000.25	0	0	0	0
0	85	55	0	0	0	9000	0	1	-0.588583988277608	15014	0	3832.33333333333	2	4	1	0	45000	0	0	0	4760.455078125	5.2
0	0	61	0	0	0	0	0	1	-0.017009436938875	41023	36164.6666666667	37544	4.166666666666	6	1	9999999	37000	23229.8268229167	815.400024414062	0	2154.08000183105	4
1	150	63	0	0	0	327	-1	1	-0.155963302752294	436	67.6666666666667	184	2	3.166666666666	3	0	0	0	0	0	0	0
0	113	51	0	0	0	0	0	1	0	5	5	5	3.333333333333	5	1	0	12000	628.873321533203	12340.908203125	0	1897.80333073934	12.5
0	148	57	0	0	0	0	0	1	0.110936682365254	2144	0	2091	1.666666666666	3.333333333333	3	0	0	0	0	0	0	1
0	76	60	0	0	0	42569.1666666667	4.25867820755568	1	0.14825587434816	55269	48039	49641	3	5	1	0	30000	30000	0	0	0	0
0	160	70	0	0	0	381.166666666667	0.603260869565217	1	-0.962790697674419	1845	611.166666666667	1074.33333333333	0	1	0	0	0	0	0	0	0	0
0	96	65	0	0	0	0	0	1	-0.995630898287312	5722	1056.16666666667	170	1.666666666666	3.666666666666	1	0	3000	0	0	0	30	1.333333333333
0	114	54	2632.33333333333	1	281	6794.83333333333	0.0436959490213928	1	0.0245791957180083	18939	8018.16666666667	14121.3333333333	3.5	5	1	0	0	0	0	0	0	0
0	154	62	0	0	0	0	0	1	-0.028169014084507	162	0	83.3333333333333	0	1	1	0	21600	0	0	0	1536.67664782206	18.833333333333
0	153	68	0	0	0	680.166666666667	0.45125786163522	0.833333333333	-0.958762886597938	388	145.166666666667	74.3333333333333	0	1	0	0	0	0	0	0	0	0
0	105	68	92015	1	2020	24088.6666666667	0.00624677093607628	1	0.168140811490971	85497	5359	81546.3333333333	0.666666666666	2	1	0	30000	9280.63997395833	23261.68359375	0	4506.36665344238	18
0	155	73	0	0	0	0	0	1	-0.029812351235067	181508	169431.166666667	176910	2.666666666666	3.666666666666	1	0	3000	0	0	0	327	2.666666666666
0	107	61	0	0	0	0	0	0.833333333333	9999999	4666	962.666666666667	1661	1.833333333333	4	3	0	6000	137.013336181641	5699.23583984375	0	422.056668599447	5.166666666666
0	163	77	0	0	0	0	0	0	0	0	0	0	2	3	1	0	20150	0	0	66.6666666666667	0	0
0	90	60	0	0	0	61066	-0.676955572335258	1	-0.0677018499214962	1155995	448	1106959.33333333	0.333333333333	1.333333333333	1	0.0634032634032634	228100	83034.2626953125	449.220001220703	0	6218.40329488118	16.833333333333
0	149	64	0	0	0	0	0	1	-0.0233802087826762	17372	0	13811	2.833333333333	4.833333333333	1	0	73000	51561.8541666667	11255.08203125	0	11816.506638209	9.333333333333
0	124	68	0	0	0	1181.16666666667	0.152554744525547	1	-0.887640449438202	209	94	58	0	3	3	0	1300	0	0	0	160	1.333333333333
0	26	68	0	0	0	0	0	1	2.09159745969712	27196	0	23077	3	4	1	0	39000	0	0	19508.4967447917	0	0
0	99	65	0	0	0	0	0	1	-0.897826926791578	103540	1740	28897.6666666667	3	4.166666666666	3	0	55300	0	0	0	2340.38668314616	12
0	158	58	0	0	0	7274.33333333333	0.0602643171806167	1	-0.148759683856327	14806	11299.5	12607.6666666667	3.666666666666	5.166666666666	1	0	30000	10652.8997395833	6738.06005859375	19297.9718424479	1559.22003936768	2.4
0	2	60	20382.3333333333	0	0	0	0	1	0.00143266475644699	699	698.333333333333	698.666666666667	1	2	1	0	3200	323.470001220703	2917.06005859375	0	46	1.333333333333
1	28	65	0	0	0	0	0	1	0	27	0	27	3	5	1	0	2000	0	0	0	0	0
0	128	69	0	0	0	8667.16666666667	-0.342383956737269	0	0	0	0	0	4.666666666666	5.333333333333	1	0	0	0	0	0	0	0
0	59	56	0	0	0	0	0	1	0.144754001185536	13332	0	10132.6666666667	0	1	0	-1	0	0	0	0	0	0
0	160	70	0	0	0	1000.5	0.0351089588377724	0.833333333333	1.9375	235	75.8333333333333	80.6666666666667	2.5	2.666666666666	3	0	0	0	0	0	0	0
0	118	58	15857	1	2191	0	0	1	10.7430918595967	15724	867.333333333333	6254	2	5	1	0	0	0	0	0	463.689987182617	2.25
0	49	56	0	0	0	0	0	1	-0.173618940248027	12418	7947.5	8711	1.666666666666	2.666666666666	0	0	700	700	0	0	0	0
1	159	62	20765	1	1496	0	0	1	-0.87037037037037	54	38.3333333333333	22.6666666666667	2.5	4	3	0	0	0	0	0	0	0
0	142	69	0	0	0	1584.66666666667	-0.372265625	1	10.0068493150685	1646	747.166666666667	1131.33333333333	3.166666666666	4.166666666666	1	0	0	0	0	0	0	0
0	111	59	54171.6666666667	1	655	12752.5	0.0048282412537597	1	1.92965907559628	21741	2594.16666666667	14073.3333333333	2	3	1	0	23400	0	0	647.045008341471	185.779996871948	2.666666666666
0	2	58	63058	1	966	1089.16666666667	0.107476635514019	1	-0.544059124502558	8145	377.166666666667	1979.66666666667	4.166666666666	6	1	0.197822141560799	33000	29396.22265625	3788.4541015625	3344.65364583333	880.939999580383	2.4
0	86	58	0	0	0	11142.1666666667	0.145670318205529	1	-0.0247490853598889	52837	4638.16666666667	49055.3333333333	1	2	3	0	0	0	0	0	0	0
0	17	64	5711.66666666667	1	424.5	0	0	1	-0.7772502204436	14743	10589.8333333333	7369	3	5	1	0	41000	39158.3502604167	1564.35998535156	0	1445.98331451416	4
0	108	63	78286	1	2460	11796.3333333333	-0.00263606760738099	1	0.135189437428243	6072	0	4367	2.5	4	1	0.0909090909090909	60000	42848.3359375	21039.7265625	0	3596.23332277934	22
0	11	51	2685	1	206	0	0	1	-0.899328859060403	149	126.666666666667	104.333333333333	2	3	1.666666666666	0	5000	567.39665222168	4772.14013671875	3022.77168782552	116.099998474121	1.333333333333
0	104	69	0	0	0	5484.5	0.0049351124108938	1	-0.0340789264322372	741602	3112.5	713791.666666667	3	4	1	0	62000	0	0	0	3776.99332936605	18
1	107	57	72308	0	0	239.75	0.602649006622517	0.833333333333	0.00671140939597315	161	119	134.666666666667	1	3	3	0	0	0	0	0	0	0
0	86	69	0	0	0	0	0	1	-0.028169014084507	1136	1122.66666666667	1114	1	3	1	0	13200	0	0	0	0	0
0	74	62	0	0	0	14621.5	0.00683850604944766	1	-0.1875	21987	16046.5	17024.6666666667	3	6	3	0	0	0	0	0	0	0
0	52	69	45694.3333333333	0	0	0	0	1	0.572119133011071	19222	13200.5	13805.3333333333	2	3	1	0	12000	8627.73665364583	3541.60009765625	2754.23506673177	2164.23668162028	5.5
0	33	53	0	0	0	0	0	1	0.400159926890564	12257	10265.6666666667	11448	2	3	1	0	3800	3794.82657877604	17.6459999084473	0	17.5	1
0	162	52	54788.3333333333	1	1068	0	0	1	-0.875188578577474	33444	5906.33333333333	5833.33333333333	0	1	1	0	5000	0	0	0	298.775001525879	4
0	5	48	0	0	0	1075	0	1	1.00448430493274	894	713	874.333333333333	0	0	0	0	0	0	0	0	0	0
0	113	50	0	0	0	15491.5	0.0132783882783883	1	-0.0880584589769679	15441	13354.5	13239.3333333333	3	4.333333333333	1	0	0	0	0	0	0	0
0	135	62	0	0	0	514.833333333333	-0.0666666666666667	1	0.0851063829787234	256	145	154.333333333333	0	1	3	0	0	0	0	0	0	0
0	149	58	115546	0	0	7744.16666666667	0.282674041120596	1	2.56245686680469	10449	5225.83333333333	6827	4	5	1	0	33100	5325.34013621012	33005.1484375	16432.5265299479	0	0
0	156	67	0	0	0	3476.83333333333	-0.396511325175736	1	1.54505494505495	3737	0	1883.66666666667	3	5	1	0	5240	0	0	2486.65502929688	0	0
0	79	55	0	0	0	0	0	1	-0.931010452961673	14471	3378.66666666667	969.333333333333	0	0	0	0	0	0	0	0	0	0
1	8	61	19607	0	0	0	0	1	-0.954545454545455	330	112.166666666667	15	3.5	6.5	1	0	0	0	0	0	0	0
0	108	57	0	0	0	8460.33333333333	-0.704244482173175	1	-0.414999134997982	34682	10662.6666666667	20493.6666666667	3.333333333333	5.333333333333	1	0	17680	0	0	0	0	0
0	148	47	0	0	0	7717.16666666667	0.0694151486097795	1	-0.151887920724415	12827	1833.83333333333	10940	2	3	1	0	12000	3104.11336263021	8717.16015625	9287.7333984375	0	0
1	95	61	0	0	0	0	0	1	-0.0629962029685882	5892	0	5422.33333333333	1	6	3	-1	0	0	0	61.8033345540365	241.390007019043	3.5
0	4	61	0	0	0	0	0	1	-0.0866935483870968	1371	471.833333333333	690.333333333333	0.4	1	1	0	0	0	0	0	0	0
0	6	62	0	0	0	0	0	1	0.000315059861373661	3186	0	3178.66666666667	5.166666666666	7.333333333333	1	0	44000	36988.4440104167	8024.005859375	5954.07666015625	803.893330891927	4.666666666666
0	94	58	26616	1	695	6981.33333333333	3.76640811455847	1	-0.41895095569714	13498	4222.66666666667	2971.33333333333	3.833333333333	6	1	0	0	0	0	0	0	0
0	58	59	0	0	0	6306.66666666667	-0.607542722451385	1	-0.303994259746472	12543	6522.33333333333	4310	4	6	1	0	0	0	0	0	0	0
0	107	55	0	0	0	0	0	1	0	51	51	51	2	4	3	0	6000	0	0	9.83833312988281	1748.92666689555	17.833333333333
0	20	63	0	0	0	0	0	1	0	389	389	389	3	6	1	0	10950	2805.35009765625	7907.89990234375	8426.82999674479	49.5	1.5
0	0	54	0	0	0	1648.16666666667	-0.37792029317453	1	-0.985193621867882	2634	1269.66666666667	405	1.5	3	1	0	0	0	0	0	0	0
0	94	60	0	0	0	8662	2.73961297666477	1	-0.827586206896552	811	150.166666666667	20	0	3	3	0	9000	0	0	0	27	1
0	155	69	101248.666666667	0	0	10090.8333333333	0.180440331844288	1	0.33122715939752	77954	60457.3333333333	74346.6666666667	0	2	1	0	56000	42000	0	0	826.973337173462	5.333333333333
0	156	78	0	0	0	0	0	1	0.117313915857605	1652	298.5	1525.33333333333	1.833333333333	3.833333333333	1	0	700	700	0	0	0	0
0	85	62	0	0	0	4336.5	1.17020382433284	1	0.208109572843277	49042	42699.5	43785.3333333333	3.5	5.5	1	0	3640	3640	0	0	0	0
0	155	55	0	0	0	6334	0.335958651242924	1	0.452658884565499	4480	1911.16666666667	2062	2	3	1	0	10150	10150	0	0	0	0
0	162	78	0	0	0	0	0	1	-0.00108701559867384	18399	388.666666666667	18383	0	0	0	0	0	0	0	0	0	0
0	2	61	0	0	0	11911.8333333333	-0.374732987488557	1	-0.89597855227882	5791	2631.16666666667	2089.66666666667	1	4	1	0	51100	32548.1432291667	20106.583984375	35.8333333333333	3283.80335235596	26.666666666666
0	47	61	145638.666666667	0	0	8493.5	1.10127055306428	1	0.68476075593084	4190	2910.5	3904.66666666667	1	3.5	1	0	0	0	0	0	0	0
0	51	54	0	0	0	5901.33333333333	0.110169491525424	1	-0.0319731367253084	16105	13158.5	11646.3333333333	0	2	1	0	2100	0	0	0	0	0
0	94	62	0	0	0	0	0	1	0.621165115477422	9406	0	9405.66666666667	2	3	1	0	50000	49384.0963541667	351.339996337891	0	481.716669082642	7.833333333333
0	138	56	99668.3333333333	0	0	7404.66666666667	-0.0255731922398589	1	1.09649923896499	6887	3550.5	4454.33333333333	1	2	1	0	8900	0	0	0	700.719991048177	1.5
0	66	55	0	0	0	2260.16666666667	-0.0755813953488372	1	18.5	165	57.5	108.666666666667	0	2	3	9999999	1200	0	0	33.0379997253418	0	3
